Date,Adj Close
2016-11-23,7.69
2016-11-25,7.89
2016-11-28,7.86
2016-11-29,8
2016-11-30,7.84
2016-12-01,7.94
2016-12-02,7.98
2016-12-05,8.05
2016-12-06,8.17
2016-12-07,8.9
2016-12-08,8.74
2016-12-09,8.48
2016-12-12,8.2
2016-12-13,8.28
2016-12-14,8.33
2016-12-15,8.45
2016-12-16,8.24
2016-12-19,8.44
2016-12-20,8.43
2016-12-21,8.41
2016-12-22,8.5
2016-12-23,8.5
2016-12-27,8.69
2016-12-28,8.72
2016-12-29,8.81
2016-12-30,8.42
2017-01-03,8.56
2017-01-04,8.79
2017-01-05,8.77
2017-01-06,8.69
2017-01-09,8.7
2017-01-10,8.76
2017-01-11,8.63
2017-01-12,8.46
2017-01-13,8.61
2017-01-17,8.65
2017-01-18,8.73
2017-01-19,8.97
2017-01-20,8.93
2017-01-23,9.18
2017-01-24,9.19
2017-01-25,9.19
2017-01-26,9.43
2017-01-27,9.22
2017-01-30,9.11
2017-01-31,9.23
2017-02-01,9.01
2017-02-02,8.53
2017-02-03,8.43
2017-02-06,8.36
2017-02-07,8.34
2017-02-08,8.66
2017-02-09,8.77
2017-02-10,8.96
2017-02-13,8.84
2017-02-14,9.07
2017-02-15,9.12
2017-02-16,9
2017-02-17,9.3
2017-02-21,9.27
2017-02-22,9.29
2017-02-23,8.96
2017-02-24,8.94
2017-02-27,8.91
2017-02-28,8.81
2017-03-01,8.84
2017-03-02,8.73
2017-03-03,8.9
2017-03-06,8.78
2017-03-07,8.3
2017-03-08,8.41
2017-03-09,8.31
2017-03-10,8.28
2017-03-13,8.48
2017-03-14,8.37
2017-03-15,8.66
2017-03-16,8.61
2017-03-17,8.57
2017-03-20,8.5
2017-03-21,8.28
2017-03-22,8.27
2017-03-23,8.46
2017-03-24,8.5
2017-03-27,8.29
2017-03-28,8.33
2017-03-29,8.48
2017-03-30,8.52
2017-03-31,8.68
2017-04-03,8.67
2017-04-04,8.68
2017-04-05,8.41
2017-04-06,8.39
2017-04-07,8.37
2017-04-10,8.36
2017-04-11,8.32
2017-04-12,8.34
2017-04-13,8.28
2017-04-17,8.4
2017-04-18,8.5
2017-04-19,8.57
2017-04-20,8.58
2017-04-21,8.5
2017-04-24,8.71
2017-04-25,8.95
2017-04-26,8.91
2017-04-27,9.03
2017-04-28,9.03
2017-05-01,9.11
2017-05-02,9.07
2017-05-03,7.77
2017-05-04,7.94
2017-05-05,8.04
2017-05-08,7.76
2017-05-09,7.9
2017-05-10,7.88
2017-05-11,7.87
2017-05-12,7.95
2017-05-15,7.88
2017-05-16,7.94
2017-05-17,7.34
2017-05-18,7.89
2017-05-19,8.07
2017-05-22,8.17
2017-05-23,8.18
2017-05-24,8.17
2017-05-25,8.33
2017-05-26,8.4
2017-05-30,8.44
2017-05-31,8.49
2017-06-01,8.55
2017-06-02,8.87
2017-06-05,8.96
2017-06-06,8.78
2017-06-07,8.64
2017-06-08,8.6
2017-06-09,8.12
2017-06-12,8.21
2017-06-13,8.26
2017-06-14,8.14
2017-06-15,8.06
2017-06-16,7.8
2017-06-19,7.93
2017-06-20,8.14
2017-06-21,8.21
2017-06-22,8.07
2017-06-23,8.05
2017-06-26,8.01
2017-06-27,8.18
2017-06-28,8.28
2017-06-29,8.15
2017-06-30,8.21
2017-07-03,8.15
2017-07-05,8.23
2017-07-06,8.04
2017-07-07,8.13
2017-07-10,8.23
2017-07-11,8.14
2017-07-12,8.23
2017-07-13,8.2
2017-07-14,8.55
2017-07-17,8.39
2017-07-18,8.45
2017-07-19,8.41
2017-07-20,8.38
2017-07-21,8.53
2017-07-24,8.54
2017-07-25,8.7
2017-07-26,8.55
2017-07-27,8.2
2017-07-28,8.22
2017-07-31,7.98
2017-08-01,8.87
2017-08-02,8.79
2017-08-03,8.54
2017-08-04,8.7
2017-08-07,8.62
2017-08-08,8.4
2017-08-09,8.22
2017-08-10,8.03
2017-08-11,8.31
2017-08-14,8.41
2017-08-15,8.3
2017-08-16,8.3
2017-08-17,8.09
2017-08-18,8.07
2017-08-21,8.08
2017-08-22,8.22
2017-08-23,8.29
2017-08-24,8.42
2017-08-25,8.43
2017-08-28,8.29
2017-08-29,8.27
2017-08-30,8.25
2017-08-31,8.25
2017-09-01,8.27
2017-09-05,8.18
2017-09-06,8.13
2017-09-07,7.97
2017-09-08,7.74
2017-09-11,7.61
2017-09-12,7.9
2017-09-13,7.85
2017-09-14,7.75
2017-09-15,7.69
2017-09-18,7.68
